,activation,depth,filters,kernel_initializer,pooling,random_state,graph,model,config_ID,batch_size,max_epochs,learning_rate,optimizer_class,loss_function,early_stopping_startingepoch,early_stopping_patience,reduce_lr_on_plateau_patience,reduce_lr_on_plateau_factor,trainable_params,non_trainable_params,total_params,loss,mre_av,mre_phi,mae
74,elu,7,5,glorot_normal,reduce_max,2404,BA,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8779028058052063,0.0122645171359181,0.041900135576725,0.5819675922393799
75,elu,9,5,glorot_normal,reduce_max,2400,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8747057318687439,0.0121633652597665,0.0365170501172542,0.577012836933136
76,elu,9,5,glorot_normal,reduce_max,2401,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8684777021408081,0.012029480189085,0.0399276725947856,0.570221483707428
77,elu,9,5,glorot_normal,reduce_max,2402,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8780087232589722,0.0122219724580645,0.0401053242385387,0.579251229763031
78,elu,9,5,glorot_normal,reduce_max,2403,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8667078614234924,0.0119624901562929,0.0394671745598316,0.5666105151176453
79,elu,9,5,glorot_normal,reduce_max,2404,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.9110512137413024,0.012439333833754,0.0382677428424358,0.5900259017944336
80,elu,3,5,glorot_normal,reduce_mean,2400,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9280486702919006,0.0132094537839293,0.0484980717301368,0.6240733861923218
81,elu,3,5,glorot_normal,reduce_mean,2401,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9570766687393188,0.0135939866304397,0.0539716444909572,0.6412397623062134
82,elu,3,5,glorot_normal,reduce_mean,2402,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9492372274398804,0.0132306311279535,0.0515059977769851,0.6250008940696716
83,elu,3,5,glorot_normal,reduce_mean,2403,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9152584671974182,0.0130826979875564,0.0489307306706905,0.6186173558235168
84,elu,3,5,glorot_normal,reduce_mean,2404,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9089353084564208,0.013076901435852,0.0461401008069515,0.617907702922821
85,elu,5,5,glorot_normal,reduce_mean,2400,BA,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.9557164907455444,0.0132503677159547,0.0483761578798294,0.6280601620674133
86,elu,5,5,glorot_normal,reduce_mean,2401,BA,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.9002833366394043,0.0128616811707615,0.0441325232386589,0.6090142130851746
87,elu,5,5,glorot_normal,reduce_mean,2402,BA,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.9421846270561218,0.0135084632784128,0.0477453731000423,0.6398524641990662
88,elu,5,5,glorot_normal,reduce_mean,2403,BA,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.9097639322280884,0.0129239475354552,0.0441212467849254,0.6116811633110046
89,elu,5,5,glorot_normal,reduce_mean,2404,BA,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.9478022456169128,0.0134643912315368,0.0469742491841316,0.6377518177032471
90,elu,7,5,glorot_normal,reduce_mean,2400,BA,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8632255792617798,0.0121464440599083,0.0393471457064151,0.5753573775291443
91,elu,7,5,glorot_normal,reduce_mean,2401,BA,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.9481404423713684,0.0133000873029232,0.0402608625590801,0.6298999190330505
92,elu,7,5,glorot_normal,reduce_mean,2402,BA,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8501892685890198,0.0125491945073008,0.0379877500236034,0.5939133763313293
93,elu,7,5,glorot_normal,reduce_mean,2403,BA,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8588499426841736,0.0126110268756747,0.0400529652833938,0.5974145531654358
94,elu,7,5,glorot_normal,reduce_mean,2404,BA,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8544402122497559,0.0124697117134928,0.0385175161063671,0.5909701585769653
95,elu,9,5,glorot_normal,reduce_mean,2400,BA,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.854651689529419,0.0121189532801508,0.0388204865157604,0.5744228363037109
96,elu,9,5,glorot_normal,reduce_mean,2401,BA,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8764610886573792,0.0125752538442611,0.0387493148446083,0.5957348346710205
97,elu,9,5,glorot_normal,reduce_mean,2402,BA,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8735324740409851,0.0125418985262513,0.0374773852527141,0.5942228436470032
98,elu,9,5,glorot_normal,reduce_mean,2403,BA,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.9053065776824952,0.0126465186476707,0.040461391210556,0.5985403656959534
99,elu,9,5,glorot_normal,reduce_mean,2404,BA,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8670175075531006,0.0122009608894586,0.0391660295426845,0.5778962969779968
100,elu,3,10,glorot_normal,reduce_max,2400,BA,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.8659637570381165,0.0117895770817995,0.045373648405075,0.5594906806945801
101,elu,3,10,glorot_normal,reduce_max,2401,BA,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.8377736210823059,0.0116713438183069,0.0449010208249092,0.5539224743843079
102,elu,3,10,glorot_normal,reduce_max,2402,BA,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.8699013590812683,0.0118247270584106,0.0497080162167549,0.561741054058075
103,elu,3,10,glorot_normal,reduce_max,2403,BA,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.866500973701477,0.0120284389704465,0.0486077219247818,0.5710821747779846
104,elu,3,10,glorot_normal,reduce_max,2404,BA,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.8832786679267883,0.0118711069226264,0.0505761913955211,0.5637170672416687
105,elu,5,10,glorot_normal,reduce_max,2400,BA,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7831090688705444,0.011195259168744,0.0383986383676528,0.5307722687721252
106,elu,5,10,glorot_normal,reduce_max,2401,BA,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7929854989051819,0.0113219181075692,0.035280555486679,0.5367368459701538
