,activation,depth,filters,kernel_initializer,pooling,random_state,graph,model,config_ID,batch_size,max_epochs,learning_rate,optimizer_class,loss_function,early_stopping_startingepoch,early_stopping_patience,reduce_lr_on_plateau_patience,reduce_lr_on_plateau_factor,trainable_params,non_trainable_params,total_params,loss,mre_av,mre_phi,mae
95,elu,19,5,glorot_normal,reduce_mean,2400,ER,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.3172619342803955,0.0199528187513351,0.0689661875367164,1.226335883140564
96,elu,19,5,glorot_normal,reduce_mean,2401,ER,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.3170511722564697,0.0199367757886648,0.0689397826790809,1.2253795862197876
97,elu,19,5,glorot_normal,reduce_mean,2402,ER,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.317620277404785,0.0199438519775867,0.0689914375543594,1.2257367372512815
98,elu,19,5,glorot_normal,reduce_mean,2403,ER,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.3174524307250977,0.0199453067034482,0.0689624324440956,1.225878119468689
99,elu,19,5,glorot_normal,reduce_mean,2404,ER,EWGINN,19,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.317500352859497,0.0199464801698923,0.0688986852765083,1.2260167598724363
100,elu,4,10,glorot_normal,reduce_max,2400,ER,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2642802596092224,0.0056242765858769,0.0259975790977478,0.3455963432788849
101,elu,4,10,glorot_normal,reduce_max,2401,ER,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2399715781211853,0.0052514369599521,0.0259570106863975,0.3229319751262665
102,elu,4,10,glorot_normal,reduce_max,2402,ER,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2747743725776672,0.0058071608655154,0.0268337503075599,0.3572252988815307
103,elu,4,10,glorot_normal,reduce_max,2403,ER,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.269810289144516,0.0057658837176859,0.0265523418784141,0.3547497987747192
104,elu,4,10,glorot_normal,reduce_max,2404,ER,EWGINN,20,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2585256695747375,0.0055454825051128,0.0256262775510549,0.3407858610153198
105,elu,9,10,glorot_normal,reduce_max,2400,ER,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2838662564754486,0.0057128774933516,0.0238985437899827,0.3512397110462188
106,elu,9,10,glorot_normal,reduce_max,2401,ER,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2906610667705536,0.0058201998472213,0.0229437127709388,0.3579645156860351
107,elu,9,10,glorot_normal,reduce_max,2402,ER,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2855109572410583,0.0057760430499911,0.0235467068850994,0.3551268279552459
108,elu,9,10,glorot_normal,reduce_max,2403,ER,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2959064841270447,0.0059836735017597,0.0252349395304918,0.3681942224502563
109,elu,9,10,glorot_normal,reduce_max,2404,ER,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2706331312656402,0.0056379507295787,0.0233977604657411,0.3468028903007507
110,elu,14,10,glorot_normal,reduce_max,2400,ER,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,771270,280,771550,2.317523241043091,0.0199457742273807,0.068826213479042,1.226057767868042
111,elu,14,10,glorot_normal,reduce_max,2401,ER,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,771270,280,771550,2.318235397338867,0.0199517030268907,0.0694295987486839,1.2258881330490112
112,elu,14,10,glorot_normal,reduce_max,2402,ER,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,771270,280,771550,2.318589210510254,0.0199531950056552,0.0690829455852508,1.2262563705444336
113,elu,14,10,glorot_normal,reduce_max,2403,ER,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,771270,280,771550,1.7242624759674072,0.0163671616464853,0.0486981160938739,1.006291151046753
114,elu,14,10,glorot_normal,reduce_max,2404,ER,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,771270,280,771550,2.3179070949554443,0.0199433080852031,0.0687938183546066,1.225979924201965
115,elu,19,10,glorot_normal,reduce_max,2400,ER,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,1053820,380,1054200,2.3175742626190186,0.0199491456151008,0.0690590292215347,1.226010799407959
116,elu,19,10,glorot_normal,reduce_max,2401,ER,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,1053820,380,1054200,2.3181068897247314,0.0199530161917209,0.0694527775049209,1.2259745597839355
117,elu,19,10,glorot_normal,reduce_max,2402,ER,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,1053820,380,1054200,2.3176426887512207,0.0199428182095289,0.0690951198339462,1.2256357669830322
118,elu,19,10,glorot_normal,reduce_max,2403,ER,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,1053820,380,1054200,2.31739354133606,0.0199434719979763,0.068932294845581,1.225805163383484
119,elu,4,10,glorot_normal,reduce_mean,2400,ER,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2368554472923278,0.0054001966491341,0.0246715489774942,0.3319872617721557
120,elu,4,10,glorot_normal,reduce_mean,2401,ER,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2184304594993591,0.0050548841245472,0.0246825739741325,0.3108479976654053
121,elu,4,10,glorot_normal,reduce_mean,2402,ER,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2424457222223281,0.0054387361742556,0.0257885623723268,0.3343737423419952
122,elu,4,10,glorot_normal,reduce_mean,2403,ER,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2096703350543975,0.0050342180766165,0.0231628194451332,0.3093335926532745
123,elu,19,10,glorot_normal,reduce_max,2404,ER,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,1053820,380,1054200,2.317233324050904,0.0199462492018938,0.0691987946629524,1.2257109880447388
124,elu,4,10,glorot_normal,reduce_mean,2404,ER,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,206170,80,206250,0.2103593945503235,0.0050577628426253,0.0246075447648763,0.3109784424304962
125,elu,9,10,glorot_normal,reduce_mean,2400,ER,EWGINN,25,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2411477118730545,0.0052816094830632,0.0225505772978067,0.3249558806419372
126,elu,9,10,glorot_normal,reduce_mean,2401,ER,EWGINN,25,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2429215908050537,0.0052347457967698,0.023419115692377,0.3219912946224212
127,elu,9,10,glorot_normal,reduce_mean,2403,ER,EWGINN,25,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2535155713558197,0.0054380684159696,0.0229549463838338,0.3345981240272522
128,elu,9,10,glorot_normal,reduce_mean,2402,ER,EWGINN,25,32,5000,2,Adam,mse,200,550,50,0.5,488720,180,488900,0.2444702684879303,0.0053915553726255,0.0221671443432569,0.3318313956260681
